Ticker,GHG Emissions,Air Quality,Energy Management,Water & Wastewater Management,Waste & Hazardous Materials Management,Ecological Impacts,Human Rights & Community Relations,Customer Privacy,Data Security,Access & Affordability,Product Quality & Safety,Customer Welfare,Selling Practices & Product Labeling,Labour Practices,Employee Health & Safety,"Employee Engagement, Diversity & Inclusion",Product Design & Lifecycle Management,Business Model Resilience,Supply Chain Management,Materials Sourcing & Efficiency,Physical Impacts of Climate Change,Business Ethics,Competitive Behaviour,Management of the Legal & Regulatory Environment,Critical Incident Risk Management,Systemic Risk Management
BECTORS,,,1,1,,,,,,,1,1,1,,,,1,,1,1,,,,,,
LTFOODS,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
IVE,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
HNDFDS,,,,,,,,,,,,,,,,,,,,,,,,,,
DODLA,1,,1,1,,1,,,,,1,1,,,1,,1,,1,1,,,,,,
ASK,,1,,1,,,,,,,,,,,,,1,,1,,,,,1,1,
BCOL,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
TLNGR,,,1,1,,,,,,,,,1,,,,1,,1,1,,,,,,
BJH,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
TSTY,,,1,1,,,,,,,1,1,1,,,,1,,1,1,,,,,,
HTFL,1,,1,1,,1,,,,,1,1,,,1,,1,,1,1,,,,,,
4BO,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
BAJAJCON,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
BNRI,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
PCAI,,,1,1,,,,,,,,,1,,,,1,,1,1,,,,,,
DCB,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
HMAAGRO,1,,1,1,,1,,,,,1,1,,,1,,1,,1,1,,,,,,
ADM,1,1,,,,,,,,,,,,1,1,,,,1,,,,,,1,
EVRIN,,,,1,,,,,,,1,,,,,,1,,1,,,,,,,
MANORAMA,1,,1,1,,,,,,,1,,,,1,,,,1,1,,,,,,
VSFI,,,1,1,,,,,,,1,1,1,,,,1,,1,1,,,,,,
ALKDI,,,,,,,,,,,1,,,,,,,,1,1,,,,,,
WH,1,,1,1,,1,,,,,1,1,,,1,,1,,1,1,,,,,,
TTKP,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
DBOS,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,
ADFL,,,1,1,,,,,,,1,1,1,,,,1,,1,1,,,,,,
GBSL,,,1,1,,,,,,,,,1,,,,1,,1,1,,,,,,
EUPIC,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
000419,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
IOCL,1,1,,1,1,,,,,,,,,,1,,1,,,,,,1,1,1,
BPCL,1,1,,1,1,,,,,,,,,,1,,1,,,,,,1,1,1,
HPCL,1,1,,1,1,,,,,,,,,,1,,1,,,,,,1,1,1,
OINL,1,1,,1,,1,1,,,,,,,,1,,,1,,,,1,,1,1,
SUEL,,,,,,,,,,,,,,,1,,1,,,1,,,,,,
PLNG,1,1,,,,1,,,,,,,,,,,,,,,,,1,,1,
MRPL,1,1,,1,1,,,,,,,,,,1,,1,,,,,,1,1,1,
IREDA,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
EXID,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
INXW,,,,,,,,,,,,,,,1,,1,,,1,,,,,,
AEGISLOG,,,,,,,,,,,,,,,,,,,,,,,,,,
